bayleef,Grass,
zweilous,Dark,Dragon
espurr,Psychic,
flareon,Fire,
magnezone,Electric,Steel
salandit,Poison,Fire
parasect,Bug,Grass
totodile,Water,
exploud,Normal,
mienshao,Fighting,
yanmega,Bug,Flying
bagon,Dragon,
comfey,Fairy,
serperior,Grass,
conkeldurr,Fighting,
golem,Rock,Ground
skiploom,Grass,Flying
galvantula,Bug,Electric
magby,Fire,
cottonee,Grass,Fairy
beedrill,Bug,Poison
abra,Psychic,
alomomola,Water,
spearow,Normal,Flying
rhydon,Ground,Rock
lampent,Ghost,Fire
kadabra,Psychic,
wooper,Water,Ground
ledian,Bug,Flying
zygarde-50,Dragon,Ground
yveltal,Dark,Flying
froslass,Ice,Ghost
shieldon,Rock,Steel
zebstrika,Electric,
tangela,Grass,
remoraid,Water,
seadra,Water,
pikachu,Electric,
tentacool,Water,Poison
diancie,Rock,Fairy
garchomp,Dragon,Ground
silvally,Normal,
xerneas,Fairy,
eevee,Normal,
noctowl,Normal,Flying
dhelmise,Ghost,Grass
primarina,Water,Fairy
croagunk,Poison,Fighting
abomasnow,Grass,Ice
delibird,Ice,Flying
krokorok,Ground,Dark
ponyta,Fire,
grubbin,Bug,
burmy,Bug,
purrloin,Dark,
dedenne,Electric,Fairy
aegislash-blade,Steel,Ghost
goldeen,Water,
charizard,Fire,Flying
tyrunt,Rock,Dragon
klinklang,Steel,
ducklett,Water,Flying
excadrill,Ground,Steel
meganium,Grass,
lucario,Fighting,Steel
poliwag,Water,
cresselia,Psychic,
mawile,Steel,Fairy
weezing,Poison,
bellsprout,Grass,Poison
araquanid,Water,Bug
beheeyem,Psychic,
hoothoot,Normal,Flying
misdreavus,Ghost,
drampa,Normal,Dragon
infernape,Fire,Fighting
amaura,Rock,Ice
castform,Normal,
arceus,Normal,
loudred,Normal,
